target	rnastartpos	rnaendpos	required_edits	cigar
PALB2	X1A			23641149T,23641152A	52S74M
PALB2	X1B			23641149T,23641152A	52S74M
PALB2	X2	23638075	23638126	23638102G,23638100G
PALB2	X3A
PALB2	X3B
PALB2	X4A				158M22S
PALB2	X4B				174M
PALB2	X4C	23635985	23636109		179M
PALB2	X4D	23635860	23635984		180M
PALB2	X4E	23635754	23635874		180M
PALB2	X4F	23635638	23635761		180M
PALB2	X4G	23635521	23635640		194M
PALB2	X4H	23635404	23635525		178M
PALB2	X4I	23635288	23635411		169M
PALB2	X4J	23635173	23635294		177M
PALB2	X4K	23635056	23635177		170M
PALB2	X4L	23634948	23635065		249M
PALB2	X4M	23634866	23634947	23634905C	27S146M5S
PALB2	X5A	23630367	23630466		131M45S
PALB2	X5F	23629827	23629946		219M
PALB2	X5G	23629722	23629841		180M
PALB2	X5H	23629645	23629732	23629721C,23629718C	36S132M
PALB2	X6				23629240G,23629237A	44S76M48S
PALB2	X7A	23626290	23626394		149M26S
PALB2	X7B	23626239	23626309	23626281G	67S121M21S
PALB2	X8	23624013	23624091	23624028G,23624026G	38S89M25S
PALB2	X9A	23623040	23623127	23623046G,23623043T	120M24S
PALB2	X9B	23622974	23623059	23623016C	26S148M4S
PALB2	X10			23621418C	31S119M26S
PALB2	X11				30S90M47S
PALB2	X12A				135M37S
PALB2	X12B				28S139M
PALB2	X13A				147M32S
PAlB2	X13B				174M
